transaction_id,amount,hour_of_day,merchant_category,location_is_new,device_is_new,transactions_last_hour,is_fraud
150,653.25,16,grocery,0,0,0,0
151,4777.72,3,jewelry,0,0,1,0
152,547.72,16,travel,0,0,0,0
153,313.06,17,grocery,0,0,2,0
154,1344.54,19,electronics,0,1,1,0
155,8488.07,22,jewelry,0,0,0,1
156,554.29,1,jewelry,0,0,1,0
157,2230.31,7,online,1,0,2,0
158,2867.78,12,electronics,0,0,0,0
159,542.67,22,electronics,1,0,0,0
160,2605.5,21,jewelry,0,0,0,0
161,917.05,19,atm,1,0,1,0
162,2001.01,21,travel,0,0,0,0
163,2007.68,14,online,0,0,1,0
164,1534.77,19,electronics,0,0,0,0
165,189.26,22,online,0,0,0,0
166,3607.29,8,jewelry,0,1,1,0
167,773.62,2,travel,0,0,1,0
168,412.86,2,grocery,1,0,1,0
169,83.26,1,electronics,0,0,0,0
170,1787.56,0,travel,1,0,1,0
171,2263.7,13,online,0,0,0,0
172,33.45,16,jewelry,0,0,1,0
173,1435.26,12,travel,0,0,3,0
174,513.65,18,grocery,0,0,0,0
175,2072.25,22,travel,0,0,3,0
176,383.21,14,jewelry,0,0,1,0
177,2348.43,13,online,0,0,2,0
178,977.92,1,electronics,0,0,1,0
179,5520.69,6,electronics,0,0,0,0
180,295.89,16,atm,0,0,0,0
181,834.26,17,online,0,0,0,0
182,240.89,5,atm,0,0,0,0
183,5172.38,20,atm,0,0,0,0
184,4196.67,7,jewelry,0,0,1,0
185,596.65,1,jewelry,1,0,2,0
186,2157.53,0,jewelry,0,0,0,0
187,3398.97,15,grocery,0,0,1,0
188,1620.26,6,online,0,0,2,0
189,1508.56,21,electronics,1,1,0,1
190,553.75,23,online,0,0,0,0
191,195.45,10,jewelry,0,0,0,0
192,4550.25,14,grocery,1,0,0,0
193,4613.55,12,online,0,0,1,0
194,2005.34,23,online,0,0,2,0
195,828.09,1,atm,0,0,0,0
196,859.14,13,online,0,1,0,0
197,2588.93,23,atm,0,0,0,0
198,4548.19,5,atm,0,0,2,0
199,4362.27,8,travel,0,0,0,0
200,3027.12,6,jewelry,1,0,0,0
201,2054.62,17,grocery,0,0,4,0
202,175.78,23,atm,0,0,0,0
203,352.59,8,online,0,0,0,0
204,4576.46,22,atm,0,0,0,0
205,1864.99,3,atm,0,0,1,0
206,18.48,8,atm,0,0,3,0
207,213.99,3,electronics,0,0,0,0
208,2178.32,11,electronics,0,1,0,0
209,10.15,3,electronics,1,0,3,0
210,350.63,23,electronics,0,0,0,0
211,1591.4,19,travel,1,0,1,0
212,2354.63,13,atm,0,0,0,0
213,2110.88,23,travel,0,1,1,0
214,507.9,23,online,0,0,2,0
215,2490.83,6,jewelry,0,0,0,0
216,541.65,12,grocery,0,0,1,0
217,787.27,21,travel,0,0,0,0
218,2744.72,7,electronics,1,0,0,0
219,2097.55,22,electronics,0,0,1,0
220,3783.91,4,online,0,0,3,0
221,2143.63,11,atm,0,1,2,0
222,1680.09,12,grocery,0,0,0,0
223,196.71,19,travel,1,0,1,0
224,916.83,13,atm,0,0,0,0
225,616.32,17,atm,0,0,1,0
226,559.4,23,jewelry,0,0,2,0
227,7224.62,19,jewelry,0,0,2,0
228,998.77,3,travel,0,0,1,0
229,4452.11,20,travel,0,0,2,0
230,1994.67,17,travel,0,0,2,0
231,3167.65,6,travel,0,0,0,0
232,1396.87,14,electronics,0,0,0,0
233,1720.31,20,atm,0,0,0,0
234,1356.59,5,atm,0,0,0,0
235,434.43,15,electronics,0,0,0,0
236,2563.52,19,atm,1,0,0,0
237,659.15,23,travel,0,0,0,0
238,49.23,7,grocery,1,0,3,0
239,2073.94,20,jewelry,1,0,5,0
240,389.87,15,jewelry,0,0,0,0
241,5642.17,21,atm,0,0,1,0
242,6155.12,15,grocery,0,0,1,0
243,4927.02,2,jewelry,0,0,2,0
244,924.57,16,grocery,0,0,0,0
245,31.15,8,electronics,0,0,0,0
246,5271.05,2,online,0,0,3,0
247,1117.88,19,atm,0,1,0,0
248,6801.68,6,electronics,1,0,0,0
249,6627.47,17,electronics,0,0,0,0
250,3834.77,11,grocery,1,0,1,0
251,697.55,18,atm,0,0,1,0
252,972.58,15,electronics,0,1,0,0
253,3809.45,21,travel,0,0,1,0
254,762.29,23,electronics,1,0,0,0
255,371.44,16,travel,0,0,1,0
256,1627.47,19,online,0,0,3,0
257,5502.59,14,travel,1,0,2,0
258,2381.65,0,travel,0,0,1,0
259,1688.22,1,grocery,0,0,1,0
260,204.46,7,electronics,1,0,2,0
261,1909.06,21,online,1,0,1,0
262,9221.14,1,electronics,0,0,0,1
263,301.84,18,travel,0,0,0,0
264,1460.99,8,jewelry,1,0,0,0
265,4197.22,8,travel,1,0,1,0
266,2700.07,12,electronics,0,0,0,0
267,2388.15,5,online,0,0,1,0
268,2424.58,14,jewelry,0,0,0,0
269,890.98,18,online,0,0,0,0
270,695.12,20,grocery,0,0,1,0
271,3314.75,14,travel,0,0,0,0
272,3322.66,17,travel,0,0,1,0
273,4035.9,6,grocery,0,0,1,0
274,4889.23,10,electronics,0,0,3,0
275,1432.19,7,travel,0,1,2,0
276,1392.37,5,electronics,0,0,1,0
277,3201.9,7,online,1,0,1,0
278,2099.44,1,jewelry,1,0,2,0
279,2421.1,18,jewelry,0,0,1,0
280,3177.24,15,jewelry,1,0,0,0
281,4414.65,6,atm,0,0,1,0
282,824.96,9,grocery,0,0,1,0
283,941.87,11,jewelry,1,0,1,0
284,197.39,16,travel,0,0,2,0
285,1726.83,6,grocery,0,0,0,0
286,73.21,21,online,0,0,3,0
287,1253.21,7,online,0,0,1,0
288,1564.59,6,online,0,0,1,0
289,675.26,3,online,1,0,1,0
290,1787.27,2,atm,0,0,1,0
291,61.95,18,electronics,1,0,1,0
292,76.13,14,electronics,1,0,0,0
293,3458.7,3,jewelry,0,0,2,0
294,893.17,8,atm,0,0,1,0
295,271.78,12,electronics,0,0,1,0
296,1477.31,17,online,0,0,2,0
297,2939.3,20,electronics,0,0,1,0
298,486.24,15,grocery,1,0,0,0
299,1950.44,0,jewelry,0,0,1,0
300,178.42,3,electronics,0,0,1,0
301,106.13,17,grocery,0,0,2,0
302,1515.82,7,travel,0,0,0,0
303,1555.82,19,grocery,0,0,0,0
304,2029.07,15,grocery,1,1,0,1
305,2589.92,20,online,1,0,2,0
306,7447.11,10,online,0,0,1,0
307,1452.58,19,jewelry,0,0,1,0
308,780.04,20,online,0,0,3,0
309,3171.31,20,grocery,0,0,2,0
310,631.7,20,atm,0,0,0,0
311,1155.97,18,online,0,0,2,0
312,163.41,22,online,0,0,1,0
313,51.36,18,grocery,0,0,2,0
314,6574.76,17,travel,0,0,0,0
315,3615.54,18,travel,0,0,0,0
316,2381.29,10,electronics,0,1,0,0
317,1051.72,2,jewelry,0,1,0,0
318,380.61,7,travel,0,0,2,0
319,340.24,19,online,0,0,1,0
320,576.01,18,atm,1,0,0,0
321,1593.58,9,electronics,0,0,1,0
322,2507.7,15,jewelry,0,0,0,0
323,2158.78,4,atm,1,0,0,0
324,656.82,19,atm,0,0,2,0
325,6196.21,8,online,0,0,0,0
326,2678.03,7,grocery,0,0,1,0
327,1616.46,10,grocery,0,0,1,0
328,1892.06,15,grocery,0,0,3,0
329,1088.08,6,travel,0,0,1,0
330,569.32,14,grocery,0,0,1,0
331,880.03,23,jewelry,0,1,1,0
332,2836.36,20,online,1,0,0,0
333,29.0,19,travel,0,0,1,0
334,246.76,22,jewelry,0,0,0,0
335,94.19,16,grocery,0,0,0,0
336,83.16,5,jewelry,0,0,1,0
337,3868.41,14,atm,0,0,1,0
338,2432.48,7,online,0,0,0,0
339,1285.57,6,online,0,0,1,0
340,205.91,1,jewelry,0,0,2,0
341,1353.04,12,electronics,0,0,3,0
342,1282.9,22,online,0,0,1,0
343,380.39,5,atm,0,0,0,0
344,1137.8,4,online,1,0,3,0
345,1016.67,19,electronics,0,0,1,0
346,1913.44,0,online,0,0,2,0
347,2016.23,17,online,0,0,3,0
348,92.72,14,electronics,0,0,1,0
349,938.77,22,online,0,0,0,0
350,1966.25,9,jewelry,0,0,1,0
351,1398.88,2,travel,1,0,1,0
352,3882.7,4,jewelry,0,0,0,0
353,2149.95,23,online,1,0,1,0
354,355.71,12,grocery,0,1,1,0
355,146.36,7,grocery,0,0,2,0
356,2056.79,21,travel,0,0,0,0
357,53.74,20,online,0,0,1,0
358,1762.69,1,atm,0,0,0,0
359,5634.51,8,online,0,0,0,0
360,1713.56,16,grocery,0,0,0,0
361,982.6,17,electronics,1,0,0,0
362,2061.65,12,travel,0,0,1,0
363,1225.91,0,electronics,0,0,1,0
364,1577.63,11,atm,0,0,2,0
365,5676.25,19,online,0,0,0,0
366,975.86,19,atm,0,0,1,0
367,6498.18,20,electronics,1,0,3,0
368,4715.15,4,online,0,0,0,0
369,435.79,7,jewelry,0,0,0,0
370,143.77,14,jewelry,0,0,0,0
371,212.45,2,atm,0,0,1,0
372,36.78,5,jewelry,0,0,1,0
373,198.41,12,jewelry,0,0,0,0
374,2297.75,11,grocery,0,0,0,0
375,147.7,18,jewelry,0,0,0,0
376,768.31,17,grocery,0,1,0,0
377,3727.05,23,travel,0,0,0,0
378,47.09,0,grocery,0,0,0,0
379,3369.06,6,grocery,0,0,1,0
380,662.17,11,electronics,1,1,0,0
381,251.5,9,grocery,0,0,1,0
382,2386.31,11,grocery,1,0,2,0
383,1982.8,10,electronics,0,0,1,0
384,4198.83,3,grocery,0,0,0,0
385,2656.59,18,jewelry,0,0,3,0
386,3253.99,5,grocery,0,1,0,0
387,662.67,8,travel,0,0,0,0
388,390.67,19,grocery,0,0,0,0
389,2777.51,9,grocery,0,0,0,0
390,3288.42,4,travel,1,0,0,0
391,9314.01,12,electronics,0,0,1,0
392,1064.16,8,jewelry,0,0,0,0
393,930.49,1,grocery,0,1,0,1
394,2995.91,17,jewelry,0,0,0,0
395,833.47,20,atm,1,0,0,0
396,5340.28,0,jewelry,0,0,0,0
397,3909.68,23,electronics,1,0,0,0
398,1120.71,20,electronics,1,0,2,0
399,2779.57,11,grocery,0,0,1,0
400,2809.27,9,travel,0,0,0,0
401,217.68,1,electronics,0,0,0,0
402,4656.89,8,travel,0,0,0,0
403,1407.41,1,atm,0,0,2,0
404,3502.67,22,travel,0,0,1,0
405,771.47,23,online,0,0,0,0
406,4517.58,21,travel,0,0,1,0
407,985.98,13,electronics,0,0,0,0
408,21.79,10,travel,0,1,3,0
409,4715.81,22,travel,0,0,0,0
410,191.45,10,online,1,0,0,0
411,769.31,16,online,0,0,3,0
412,5993.94,3,grocery,0,0,1,0
413,6015.9,12,electronics,0,0,2,0
414,1703.99,6,grocery,0,0,0,0
415,1998.46,15,online,1,0,1,0
416,1190.03,0,travel,0,0,2,0
417,694.05,12,online,1,0,2,0
418,796.97,0,atm,0,0,3,0
419,2232.65,10,travel,1,0,1,0
420,2791.68,5,grocery,0,0,1,0
421,3136.39,19,travel,1,0,0,0
422,3117.66,2,atm,1,0,1,0
423,191.27,11,online,0,0,1,0
424,1364.1,4,electronics,1,0,4,0
425,118.56,8,jewelry,0,0,1,0
426,1594.92,11,electronics,0,1,1,0
427,1165.11,9,electronics,0,0,1,0
428,4373.24,18,online,1,0,2,1
429,864.38,4,electronics,0,0,1,0
430,249.01,4,atm,0,0,0,0
431,308.62,8,online,0,0,1,0
432,2866.86,19,electronics,1,0,1,0
433,1925.81,16,jewelry,0,0,2,0
434,213.22,9,grocery,0,0,0,0
435,175.71,20,online,0,0,5,0
436,2414.42,0,online,0,0,2,0
437,151.09,21,travel,0,0,0,0
438,3450.37,15,electronics,0,0,1,0
439,2450.0,14,grocery,0,0,0,0
440,169.7,22,jewelry,1,0,2,0
441,177.31,16,atm,0,0,2,0
442,8630.92,19,online,0,1,0,1
443,937.68,12,atm,0,0,0,0
444,926.11,0,atm,0,0,0,0
445,3351.15,7,atm,0,0,3,0
446,5884.33,4,travel,0,0,1,0
447,8537.55,5,atm,1,0,1,0
448,2799.8,22,electronics,0,0,2,0
449,944.04,19,electronics,0,0,2,0
450,174.39,13,grocery,0,0,1,0
451,3002.49,21,grocery,0,0,1,0
452,1634.72,22,jewelry,0,0,0,0
453,1104.07,10,atm,1,0,1,0
454,4736.48,5,atm,0,0,0,0
455,235.76,10,travel,0,0,2,0
456,1357.01,12,atm,0,0,2,0
457,22.84,11,atm,0,0,1,0
458,1264.71,21,atm,0,1,2,0
459,115.9,1,online,0,0,1,0
460,252.98,20,online,0,0,0,0
461,250.05,2,travel,0,1,1,0
462,2095.14,22,travel,0,0,0,0
463,2741.2,3,electronics,0,0,0,0
464,1751.11,16,travel,1,0,1,0
465,6549.44,21,jewelry,1,0,0,0
466,939.59,5,electronics,0,0,1,0
467,672.94,6,atm,0,0,0,0
468,4059.01,14,travel,0,0,0,0
469,506.16,10,jewelry,1,0,3,0
470,6605.74,23,travel,0,1,1,0
471,24.46,2,travel,0,0,1,0
472,7005.05,5,electronics,0,0,1,0
473,88.24,1,electronics,0,1,1,0
474,4435.44,13,grocery,0,0,1,0
475,1500.29,8,electronics,0,0,0,0
476,9913.66,17,electronics,0,0,3,0
477,153.32,18,online,0,0,0,0
478,1614.22,11,travel,0,0,1,0
479,6967.15,12,electronics,1,0,2,0
480,1480.89,11,travel,0,0,1,0
481,1985.26,11,travel,0,0,1,0
482,2379.8,17,online,0,0,1,0
483,1212.26,8,travel,1,0,0,0
484,1975.35,16,jewelry,0,0,3,0
485,1755.65,20,electronics,1,0,1,0
486,4628.47,15,travel,0,0,0,0
487,93.02,16,grocery,0,0,3,0
488,659.69,20,grocery,0,0,1,0
489,6007.99,23,online,0,0,1,0
490,4419.35,7,jewelry,0,0,0,0
491,1216.35,10,electronics,0,0,1,0
492,1935.87,23,online,0,0,2,0
493,649.75,1,grocery,0,0,1,0
494,416.81,7,jewelry,0,0,0,0
495,1246.12,11,electronics,0,0,0,0
496,871.91,20,travel,0,0,0,0
497,1752.49,0,electronics,0,1,1,1
498,161.84,22,atm,0,0,2,0
499,7329.92,12,electronics,0,0,2,0
500,8567.73,21,travel,0,0,2,0
501,2395.73,20,atm,0,0,2,0
502,1536.16,16,jewelry,1,0,2,0
503,740.76,13,online,0,1,0,0
504,3361.81,13,jewelry,0,0,1,0
505,2308.66,15,electronics,0,0,3,0
506,354.95,16,online,0,0,0,0
507,4836.6,5,electronics,0,0,1,0
508,3457.99,6,grocery,0,0,0,0
509,5983.48,0,grocery,0,0,1,0
510,2587.21,14,travel,0,0,1,0
511,1900.81,19,jewelry,0,0,0,0
512,1083.41,20,grocery,0,0,2,0
513,5398.04,17,atm,0,0,2,0
514,4020.78,12,atm,0,0,0,0
515,92.55,23,electronics,0,0,2,0
516,53.44,1,online,0,0,1,0
517,944.7,18,atm,0,0,1,0
518,3327.3,14,electronics,0,0,1,0
519,8728.55,11,online,0,0,0,0
520,326.02,14,grocery,0,0,0,0
521,1803.45,17,electronics,0,0,0,0
522,958.95,13,online,0,0,1,0
523,7007.42,5,travel,0,0,2,0
524,3691.83,11,jewelry,0,0,2,0
525,3644.38,19,jewelry,0,0,1,0
526,1264.83,22,travel,0,0,1,0
527,1071.67,5,atm,0,0,0,0
528,638.78,8,jewelry,0,0,0,0
529,116.05,3,online,0,0,1,0
530,4000.85,16,travel,0,0,4,0
531,3352.23,1,atm,0,0,2,0
532,16344.89,15,electronics,1,0,0,1
533,11389.75,23,electronics,0,0,0,0
534,1621.3,13,online,0,0,1,0
535,2930.57,7,online,0,0,1,0
536,5792.34,13,online,0,0,0,0
537,3789.54,1,jewelry,0,0,1,0
538,568.3,15,online,0,0,0,0
539,1197.65,3,travel,1,0,0,1
540,276.59,0,travel,0,0,2,0
541,6160.45,22,atm,0,0,0,0
542,1863.7,19,travel,0,0,2,0
543,519.21,13,jewelry,0,0,2,0
544,2227.66,7,electronics,0,0,0,0
545,1925.34,2,atm,0,0,0,0
546,886.84,4,travel,1,0,1,0
547,241.08,5,online,0,0,2,0
548,2226.88,21,travel,0,0,0,0
549,1469.22,7,grocery,0,0,2,0
550,2959.61,5,atm,0,0,3,0
551,1468.62,5,jewelry,0,0,0,0
552,3823.54,3,travel,0,0,2,0
553,1605.51,6,travel,0,0,2,0
554,1646.23,23,jewelry,0,0,1,0
555,4185.52,18,electronics,0,0,1,0
556,1033.29,6,online,0,0,1,0
557,287.78,2,online,1,0,0,0
558,58.41,7,electronics,0,0,0,0
559,2814.11,0,electronics,0,0,1,0
560,1936.8,0,grocery,0,0,1,0
561,2435.33,13,jewelry,0,0,1,0
562,478.96,5,atm,0,0,0,0
563,293.23,9,online,0,0,0,0
564,29.3,13,electronics,0,0,0,0
565,863.37,3,electronics,0,0,2,0
566,1782.79,5,jewelry,0,1,1,0
567,995.96,15,atm,0,0,0,0
568,1150.64,20,electronics,0,1,1,0
569,4690.12,0,grocery,0,0,2,0
570,856.21,5,atm,1,0,2,0
571,1443.05,8,grocery,0,0,0,0
572,3061.74,14,travel,1,0,0,0
573,1010.16,11,online,0,0,2,0
574,1946.18,2,electronics,1,0,2,0
575,3966.28,10,atm,0,0,1,0
576,5972.38,14,grocery,0,0,0,0
577,318.16,2,online,0,0,3,0
578,5223.33,13,online,0,0,2,0
579,1355.01,1,electronics,0,0,1,0
580,597.47,3,online,0,0,2,0
581,1229.17,18,electronics,0,0,0,0
582,7827.31,11,travel,0,0,0,0
583,1356.98,1,electronics,0,0,1,0
584,797.23,16,jewelry,0,0,0,0
585,2006.97,2,grocery,0,0,0,0
586,549.26,9,jewelry,0,0,0,0
587,157.79,15,online,0,0,0,0
588,275.95,21,online,1,0,0,0
589,274.04,8,online,0,0,1,0
590,329.52,10,electronics,0,0,2,0
591,298.92,20,atm,0,0,0,0
592,2048.17,14,electronics,0,0,2,0
593,401.49,2,grocery,0,0,1,0
594,848.28,15,electronics,0,0,1,0
595,4541.95,20,online,0,0,0,0
596,1284.76,20,travel,0,0,2,0
597,2202.58,20,grocery,0,0,0,0
598,378.26,11,jewelry,0,0,2,0
599,427.1,22,travel,0,0,3,0
600,83.45,4,grocery,1,0,1,0
601,370.09,6,grocery,0,0,1,0
602,653.1,8,online,1,0,1,0
603,389.62,20,jewelry,0,0,0,0
604,185.77,17,electronics,0,0,3,0
605,257.11,20,jewelry,0,0,1,0
606,1235.26,7,online,0,0,1,0
607,462.18,11,online,0,0,0,0
608,905.96,19,online,0,0,2,0
609,1400.01,1,travel,0,0,0,0
610,2344.91,9,jewelry,0,0,1,0
611,80.21,18,jewelry,0,0,0,0
612,3212.99,8,grocery,0,0,1,0
613,1977.19,23,atm,0,0,1,0
614,170.59,7,electronics,0,0,0,0
615,4136.27,23,online,0,0,3,0
616,5073.39,23,jewelry,1,0,1,0
617,126.05,23,jewelry,0,0,0,0
618,648.35,0,grocery,1,0,0,0
619,3281.87,5,electronics,0,1,0,0
620,2758.71,11,atm,0,0,1,0
621,407.96,23,atm,0,0,2,0
622,469.8,18,online,0,0,1,0
623,925.57,16,atm,0,0,4,0
624,1325.33,1,atm,0,0,0,0
625,1926.0,10,electronics,0,0,1,0
626,920.63,17,electronics,0,0,2,0
627,1241.78,22,online,1,1,0,1
628,2752.46,21,jewelry,1,0,0,0
629,74.75,10,grocery,0,0,1,0
630,581.87,17,online,0,1,2,0
631,2498.98,7,travel,0,0,1,0
632,4511.53,14,atm,0,0,2,0
633,1433.56,8,grocery,0,0,1,0
634,1519.06,14,jewelry,0,0,1,0
635,226.72,6,jewelry,0,0,2,0
636,1186.29,19,electronics,0,0,1,0
637,1521.21,12,travel,0,0,1,0
638,555.39,12,jewelry,0,0,2,0
639,627.35,0,travel,0,0,0,0
640,947.33,19,atm,1,0,1,0
641,40.55,3,electronics,0,0,2,0
642,777.45,23,grocery,0,0,2,0
643,475.11,3,electronics,0,1,0,0
644,793.5,3,atm,0,0,1,0
645,255.13,12,jewelry,0,1,3,0
646,4424.16,1,travel,0,0,2,0
647,1800.8,22,atm,0,0,0,0
648,2273.27,14,jewelry,0,0,2,0
649,3113.42,3,online,0,1,2,0
650,1380.07,5,travel,0,0,1,0
651,181.86,2,atm,0,0,0,0
652,1540.52,6,grocery,0,0,3,0
653,1767.85,5,grocery,0,0,1,0
654,2736.43,2,jewelry,0,1,0,1
655,1130.07,3,jewelry,0,0,0,0
656,272.97,9,grocery,0,1,1,0
657,667.52,20,online,0,0,3,0
658,902.23,8,electronics,1,0,0,0
659,2076.45,5,grocery,0,0,1,0
660,1691.56,19,jewelry,0,0,0,0
661,880.41,10,jewelry,0,0,1,0
662,8612.39,6,online,0,0,0,0
663,1861.67,17,grocery,0,0,0,0
664,541.59,3,online,0,0,0,0
665,214.69,4,grocery,0,0,1,0
666,331.78,3,electronics,1,0,2,0
667,564.61,3,atm,1,0,0,0
668,350.33,12,grocery,0,0,0,0
669,412.98,15,atm,0,0,3,0
670,671.21,13,grocery,0,1,0,0
671,380.8,10,electronics,0,0,0,0
672,4541.5,1,jewelry,0,0,1,0
673,167.27,21,atm,0,0,0,0
674,1486.82,13,online,0,0,3,0
675,1056.61,23,grocery,0,0,1,0
676,8077.28,23,jewelry,0,0,0,1
677,237.65,6,grocery,0,0,0,0
678,1014.52,10,online,0,0,0,0
679,6978.12,3,electronics,0,0,1,0
680,4012.49,6,travel,0,0,2,0
681,3397.33,15,grocery,1,1,1,0
682,596.55,5,online,0,1,2,0
683,374.8,5,travel,0,0,0,0
684,2209.12,1,grocery,0,0,1,0
685,5300.77,23,atm,0,0,2,0
686,1627.3,7,jewelry,0,0,1,0
687,1695.46,6,jewelry,1,0,0,0
688,656.95,23,online,0,0,2,0
689,2934.95,13,atm,0,0,3,0
690,414.16,8,electronics,0,0,2,0
691,782.18,14,travel,0,0,2,0
692,1108.29,21,online,0,1,1,0
